"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Hspd12",8.175001e-18,0.5535412,0.369,0.218,1.425638e-13,"T-cells/NK cells","Hspd1"
"Cdc42se11",8.644043e-18,0.4050539,0.155,0.059,1.507435e-13,"T-cells/NK cells","Cdc42se1"
"mt-Nd47",8.92564e-18,0.2923501,0.905,0.677,1.556542e-13,"T-cells/NK cells","mt-Nd4"
"Tyrobp",9.174636e-18,0.6072577,0.174,0.069,1.599965e-13,"T-cells/NK cells","Tyrobp"
"Gm98432",1.27548e-17,0.4725301,0.163,0.064,2.22431e-13,"T-cells/NK cells","Gm9843"
"G3bp25",1.303798e-17,0.4496048,0.218,0.1,2.273693e-13,"T-cells/NK cells","G3bp2"
"Ubxn44",1.40062e-17,0.4973722,0.237,0.115,2.442542e-13,"T-cells/NK cells","Ubxn4"
"Plec4",2.214345e-17,0.4401541,0.136,0.049,3.861596e-13,"T-cells/NK cells","Plec"
"Otulin",2.425426e-17,0.3443906,0.108,0.034,4.2297e-13,"T-cells/NK cells","Otulin"
"Rsbn1l2",2.479633e-17,0.4249235,0.138,0.05,4.324233e-13,"T-cells/NK cells","Rsbn1l"
"Kansl1",2.485255e-17,0.3292517,0.102,0.031,4.334036e-13,"T-cells/NK cells","Kansl1"
"Serpinb6b5",2.855967e-17,0.439477,0.148,0.055,4.980521e-13,"T-cells/NK cells","Serpinb6b"
"Snrpb5",2.949809e-17,0.4342039,0.386,0.228,5.144171e-13,"T-cells/NK cells","Snrpb"
"Cnppd1",2.987636e-17,0.3522866,0.106,0.033,5.210138e-13,"T-cells/NK cells","Cnppd1"
"Ube2b3",3.431719e-17,0.4601646,0.394,0.237,5.984576e-13,"T-cells/NK cells","Ube2b"
"Rpl7a5",4.626776e-17,0.3454068,0.693,0.524,8.068635e-13,"T-cells/NK cells","Rpl7a"
"Hmgb14",4.995611e-17,0.4348281,0.337,0.187,8.711847e-13,"T-cells/NK cells","Hmgb1"
"Arih12",5.191579e-17,0.4045097,0.136,0.05,9.053594e-13,"T-cells/NK cells","Arih1"
"Glud11",6.090146e-17,0.3987131,0.174,0.072,1.062061e-12,"T-cells/NK cells","Glud1"
"Hnrnpc4",6.580577e-17,0.4610671,0.233,0.112,1.147587e-12,"T-cells/NK cells","Hnrnpc"
"Cggbp12",7.085811e-17,0.529486,0.199,0.09,1.235695e-12,"T-cells/NK cells","Cggbp1"
"Arhgdia1",8.090245e-17,0.416262,0.311,0.167,1.410858e-12,"T-cells/NK cells","Arhgdia"
"Kctd121",9.001008e-17,0.3025172,0.104,0.032,1.569686e-12,"T-cells/NK cells","Kctd12"
"Cish4",9.119655e-17,0.4980336,0.129,0.047,1.590377e-12,"T-cells/NK cells","Cish"
"Tax1bp12",9.525893e-17,0.4503451,0.301,0.164,1.661221e-12,"T-cells/NK cells","Tax1bp1"
"Rtf13",1.053898e-16,0.3942775,0.174,0.072,1.837894e-12,"T-cells/NK cells","Rtf1"
"Ngfrap14",1.143041e-16,0.484955,0.263,0.134,1.993349e-12,"T-cells/NK cells","Ngfrap1"
"Sf1",1.414572e-16,0.4356399,0.159,0.065,2.466872e-12,"T-cells/NK cells","Sf1"
"Srsf32",1.589229e-16,0.4183356,0.405,0.246,2.771457e-12,"T-cells/NK cells","Srsf3"
"Prpf38b3",1.634006e-16,0.4275904,0.159,0.065,2.849542e-12,"T-cells/NK cells","Prpf38b"
"Spty2d12",1.832337e-16,0.424342,0.142,0.054,3.195413e-12,"T-cells/NK cells","Spty2d1"
"Ier53",2.017946e-16,0.4241875,0.231,0.111,3.519096e-12,"T-cells/NK cells","Ier5"
"D8Ertd738e2",2.145444e-16,0.46845,0.43,0.273,3.74144e-12,"T-cells/NK cells","D8Ertd738e"
"Arid4b2",2.998048e-16,0.378509,0.157,0.063,5.228296e-12,"T-cells/NK cells","Arid4b"
"Aprt2",3.200175e-16,0.4064313,0.197,0.088,5.580786e-12,"T-cells/NK cells","Aprt"
"Pja1",3.422638e-16,0.3701561,0.121,0.042,5.968738e-12,"T-cells/NK cells","Pja1"
"Nras2",3.594647e-16,0.3088287,0.127,0.045,6.268705e-12,"T-cells/NK cells","Nras"
"Id21",3.806876e-16,0.6259617,0.403,0.26,6.63881e-12,"T-cells/NK cells","Id2"
"Ube2i2",4.34008e-16,0.3685287,0.237,0.116,7.568665e-12,"T-cells/NK cells","Ube2i"
"Ssbp41",4.481653e-16,0.32202,0.138,0.051,7.815555e-12,"T-cells/NK cells","Ssbp4"
"Ptbp32",4.6951e-16,0.4683175,0.148,0.059,8.187785e-12,"T-cells/NK cells","Ptbp3"
"Ifi2031",4.92868e-16,0.3335221,0.112,0.037,8.595126e-12,"T-cells/NK cells","Ifi203"
"Eif3d",5.288138e-16,0.374631,0.197,0.089,9.221984e-12,"T-cells/NK cells","Eif3d"
"Ldha5",5.343309e-16,0.4271359,0.43,0.268,9.318196e-12,"T-cells/NK cells","Ldha"
"Rnaset2a2",5.385055e-16,0.5928984,0.22,0.108,9.390998e-12,"T-cells/NK cells","Rnaset2a"
"Ddx39",6.077899e-16,0.3445678,0.119,0.041,1.059925e-11,"T-cells/NK cells","Ddx39"
"Plekhj13",6.28621e-16,0.3995992,0.165,0.069,1.096252e-11,"T-cells/NK cells","Plekhj1"
"Csrnp13",7.978207e-16,0.4869321,0.15,0.061,1.39132e-11,"T-cells/NK cells","Csrnp1"
"Smap2",8.594506e-16,0.3707701,0.14,0.053,1.498796e-11,"T-cells/NK cells","Smap2"
"Ywhaz5",9.35552e-16,0.4581752,0.216,0.105,1.631509e-11,"T-cells/NK cells","Ywhaz"
"Serinc33",1.370695e-15,0.4534446,0.22,0.107,2.390355e-11,"T-cells/NK cells","Serinc3"
"Tomm203",1.470661e-15,0.3702167,0.441,0.275,2.564686e-11,"T-cells/NK cells","Tomm20"
"Trp532",1.698669e-15,0.3650827,0.119,0.042,2.962309e-11,"T-cells/NK cells","Trp53"
"Rnf19b",1.969069e-15,0.3248347,0.104,0.034,3.43386e-11,"T-cells/NK cells","Rnf19b"
"Pld3",2.00927e-15,0.4505352,0.114,0.041,3.503965e-11,"T-cells/NK cells","Pld3"
"Cirbp2",2.647895e-15,0.506367,0.263,0.139,4.617663e-11,"T-cells/NK cells","Cirbp"
"Sin3b",4.264735e-15,0.3556729,0.273,0.144,7.437272e-11,"T-cells/NK cells","Sin3b"
"Cacybp3",4.368078e-15,0.4557368,0.229,0.114,7.617491e-11,"T-cells/NK cells","Cacybp"
"Rps6kb11",4.899322e-15,0.3826054,0.121,0.045,8.543928e-11,"T-cells/NK cells","Rps6kb1"
"Srsf113",6.647836e-15,0.4494769,0.235,0.121,1.159316e-10,"T-cells/NK cells","Srsf11"
"Ptma6",8.588442e-15,0.3024396,0.765,0.579,1.497738e-10,"T-cells/NK cells","Ptma"
"Rhoa1",1.185328e-14,0.3700058,0.388,0.237,2.067094e-10,"T-cells/NK cells","Rhoa"
"Tox41",1.225571e-14,0.341689,0.127,0.048,2.137273e-10,"T-cells/NK cells","Tox4"
"Chd44",1.611647e-14,0.4700176,0.18,0.083,2.810552e-10,"T-cells/NK cells","Chd4"
"Yeats4",1.740698e-14,0.3122319,0.108,0.038,3.035603e-10,"T-cells/NK cells","Yeats4"
"Son7",2.188951e-14,0.4474881,0.335,0.202,3.817311e-10,"T-cells/NK cells","Son"
"Ubn11",2.341727e-14,0.3407937,0.138,0.055,4.083738e-10,"T-cells/NK cells","Ubn1"
"Nab1",3.530147e-14,0.3826009,0.119,0.045,6.156223e-10,"T-cells/NK cells","Nab1"
"Wdr431",3.923322e-14,0.3377125,0.11,0.04,6.841881e-10,"T-cells/NK cells","Wdr43"
"Rabgap1l2",5.062581e-14,0.3966212,0.108,0.039,8.828634e-10,"T-cells/NK cells","Rabgap1l"
"Polr2a2",5.067186e-14,0.3237077,0.106,0.038,8.836666e-10,"T-cells/NK cells","Polr2a"
"Top15",5.173237e-14,0.4405633,0.258,0.14,9.021608e-10,"T-cells/NK cells","Top1"
"Itpr21",5.924e-14,0.3476737,0.104,0.036,1.033086e-09,"T-cells/NK cells","Itpr2"
